"yield","species","county_id"
4.397,"cornstover_yield",1001
5.956,"cornstover_yield",1003
5.337,"cornstover_yield",1005
0,"cornstover_yield",1007
7.124,"cornstover_yield",1009
0,"cornstover_yield",1011
9.499,"cornstover_yield",1013
5.497,"cornstover_yield",1015
0,"cornstover_yield",1017
5.475,"cornstover_yield",1019
4.109,"cornstover_yield",1021
0,"cornstover_yield",1023
0,"cornstover_yield",1025
0,"cornstover_yield",1027
0,"cornstover_yield",1029
5.539,"cornstover_yield",1031
6.628,"cornstover_yield",1033
4.429,"cornstover_yield",1035
0,"cornstover_yield",1037
4.355,"cornstover_yield",1039
0,"cornstover_yield",1041
5.102,"cornstover_yield",1043
4.515,"cornstover_yield",1045
4.75,"cornstover_yield",1047
5.369,"cornstover_yield",1049
5.465,"cornstover_yield",1051
5.337,"cornstover_yield",1053
5.219,"cornstover_yield",1055
4.525,"cornstover_yield",1057
6.084,"cornstover_yield",1059
5.358,"cornstover_yield",1061
4.509,"cornstover_yield",1063
4.563,"cornstover_yield",1065
5.262,"cornstover_yield",1067
5.294,"cornstover_yield",1069
5.401,"cornstover_yield",1071
0,"cornstover_yield",1073
4.99,"cornstover_yield",1075
6.062,"cornstover_yield",1077
6.297,"cornstover_yield",1079
0,"cornstover_yield",1081
6.66,"cornstover_yield",1083
0,"cornstover_yield",1085
6.457,"cornstover_yield",1087
6.351,"cornstover_yield",1089
3.469,"cornstover_yield",1091
5.203,"cornstover_yield",1093
5.038,"cornstover_yield",1095
5.71,"cornstover_yield",1097
5.283,"cornstover_yield",1099
5.71,"cornstover_yield",1101
5.401,"cornstover_yield",1103
5.71,"cornstover_yield",1105
0,"cornstover_yield",1107
4.899,"cornstover_yield",1109
2.935,"cornstover_yield",1111
0,"cornstover_yield",1113
0,"cornstover_yield",1115
5.337,"cornstover_yield",1117
3.309,"cornstover_yield",1119
5.561,"cornstover_yield",1121
4.216,"cornstover_yield",1123
5.273,"cornstover_yield",1125
0,"cornstover_yield",1127
4.846,"cornstover_yield",1129
5.07,"cornstover_yield",1131
0,"cornstover_yield",1133
0,"cornstover_yield",4001
9.887,"cornstover_yield",4003
0,"cornstover_yield",4005
0,"cornstover_yield",4007
10.273,"cornstover_yield",4009
0,"cornstover_yield",4011
0,"cornstover_yield",4012
10.128,"cornstover_yield",4013
0,"cornstover_yield",4015
0,"cornstover_yield",4017
0,"cornstover_yield",4019
10.085,"cornstover_yield",4021
0,"cornstover_yield",4023
0,"cornstover_yield",4025
10.206,"cornstover_yield",4027
9.606,"cornstover_yield",5001
7.805,"cornstover_yield",5003
0,"cornstover_yield",5005
0,"cornstover_yield",5007
0,"cornstover_yield",5009
0,"cornstover_yield",5011
0,"cornstover_yield",5013
0,"cornstover_yield",5015
7.727,"cornstover_yield",5017
0,"cornstover_yield",5019
8.731,"cornstover_yield",5021
0,"cornstover_yield",5023
0,"cornstover_yield",5025
0,"cornstover_yield",5027
7.578,"cornstover_yield",5029
8.314,"cornstover_yield",5031
6.457,"cornstover_yield",5033
7.044,"cornstover_yield",5035
6.137,"cornstover_yield",5037
0,"cornstover_yield",5039
9.136,"cornstover_yield",5041
8.307,"cornstover_yield",5043
6.964,"cornstover_yield",5045
5.07,"cornstover_yield",5047
0,"cornstover_yield",5049
0,"cornstover_yield",5051
0,"cornstover_yield",5053
7.759,"cornstover_yield",5055
