# switchgrass and miscanthus yields from Miguez, F. E., Maughan, M., Bollero, G. A., & Long, S. P. (2012). Modeling spatial and dynamic variation in growth, yield, and yield stability of the bioenergy crops Miscanthus× giganteus and Panicum virgatum across the conterminous United States. Gcb Bioenergy, 4(5), 509-520. http://dx.doi.org/10.1111/j.1757-1707.2011.01150.x
# poplar yields from: Dan Wang, David LeBauer, and Michael Dietze 2013. Predicting yields of short-rotation hybrid poplar (Populus spp.) for the United States through model–data synthesis. Ecological Applications 23:944–958. http://dx.doi.org/10.1890/12-0854.1
# evapotranspiration and cornstover yield data from: VanLoocke, Andy, Tracy E. Twine, Marcelo Zeri, and Carl J. Bernacchi. "A regional comparison of water use efficiency for miscanthus, switchgrass and maize." Agricultural and Forest Meteorology 164 (2012): 82-95. http://dx.doi.org/10.1016/j.agrformet.2012.05.016
# county-level yield and evapotranspiration data is derived from gridded model output
"fips","state_abbrev","cornstover_yield","miscanthus_yield","switchgrass_yield","energycane_yield","cornstover_cost","miscanthus_cost","switchgrass_cost","energycane_cost","least_cost_crop","least_cost_crop_id","state","county","lat","lon","state_fips","county_fips","willow_yield","poplar_yield"
1059,"AL",6.084,17.495,10.929582,0,174.852,58.5,55.547,0,"Switchgrass",4,"Alabama","Franklin",34.42272557,-87.87798057,1,59,5.1406943308896,11.7727303324752
1061,"AL",5.358,28.826059,16.297215,38.408509,172.662,51.21,54.135,50.082,"Energycane",5,"Alabama","Geneva",31.11804978,-85.79162644,1,61,2.34130370213717,8.42291514830807
1063,"AL",4.509,21.271531,15.213065,0,194.996,74.734,74.396,0,"Switchgrass",4,"Alabama","Greene",32.781917,-87.92925233,1,63,3.07622405226213,9.9269488878123
1065,"AL",4.563,24.663685,13.848583,0,138.073,54.066,56.987,0,"Miscanthus",3,"Alabama","Hale",32.72238667,-87.64093867,1,65,3.04691797861205,9.74039188322606
1067,"AL",5.262,26.418976,15.120677,0,145.942,52.518,54.852,0,"Miscanthus",3,"Alabama","Henry",31.4573675,-85.25104575,1,67,2.33787925139063,8.20074399924696
1069,"AL",5.294,27.148728,15.821975,0,152.166,50.362,51.394,0,"Miscanthus",3,"Alabama","Houston",31.16915483,-85.29409042,1,69,2.25262451321047,8.2147417857865
1071,"AL",5.401,26.505894,15.147041,0,126.764,55.038,58.82,0,"Miscanthus",3,"Alabama","Jackson",34.76750063,-85.98995563,1,71,5.91225665664135,11.4052134839236
1073,"AL",0,20.666253,11.426323,0,0,77.299,92.016,0,"Miscanthus",3,"Alabama","Jefferson",33.54109162,-86.88020474,1,73,3.92742382627049,10.3622417929828
1075,"AL",4.99,22.785343,16.337091,0,160.916,51.58,46.574,0,"Switchgrass",4,"Alabama","Lamar",33.79728267,-88.081859,1,75,4.41205451063271,11.1440961962028
1077,"AL",6.062,25.441765,15.980022,0,123.635,56.45,57.478,0,"Miscanthus",3,"Alabama","Lauderdale",34.89318218,-87.617946,1,77,5.71172465338394,12.1627190618091
1079,"AL",6.297,27.266511,15.620991,0,121.185,53.288,56.368,0,"Miscanthus",3,"Alabama","Lawrence",34.5829636,-87.3504684,1,79,5.44761966564652,11.7422966001028
1081,"AL",0,21.110468,9.580831,0,0,59.021,71.141,0,"Miscanthus",3,"Alabama","Lee",32.58240854,-85.36486192,1,81,2.73578706380458,8.64128486287293
1083,"AL",6.66,28.314889,15.854759,0,128.048,53.308,57.507,0,"Miscanthus",3,"Alabama","Limestone",34.80869209,-86.99062273,1,83,5.77810595899024,11.8549544527597
1085,"AL",0,22.813025,14.339744,0,0,54.257,53.122,0,"Switchgrass",4,"Alabama","Lowndes",32.13299625,-86.59071125,1,85,2.81170079025418,8.76622426978546
1087,"AL",6.457,20.683093,12.984825,0,142.079,66.147,68.591,0,"Miscanthus",3,"Alabama","Macon",32.38014414,-85.757629,1,87,2.76722801519754,8.57125914899036
1089,"AL",6.351,27.008872,16.303684,0,122.344,55.486,57.971,0,"Miscanthus",3,"Alabama","Madison",34.74072305,-86.56746387,1,89,5.81262978788816,11.6069859062559
1091,"AL",3.469,25.652201,15.754178,0,383.89,63.976,69.066,0,"Miscanthus",3,"Alabama","Marengo",32.2831121,-87.7932086,1,91,2.87144173502721,9.30317409143717
1093,"AL",5.203,20.319517,11.051875,0,130.529,65.17,73.174,0,"Miscanthus",3,"Alabama","Marion",34.10567567,-87.82450533,1,93,4.81354136790497,11.3903043417946
1095,"AL",5.038,22.620034,12.742806,0,130.316,57.598,61.278,0,"Miscanthus",3,"Alabama","Marshall",34.3335042,-86.2926333,1,95,5.37935450880037,11.029940906285
1097,"AL",5.71,28.922169,16.70125,43.186321,178.613,58.476,64.688,49.004,"Energycane",5,"Alabama","Mobile",30.66728234,-88.1680394,1,97,2.19926393010603,9.42053385287587
1099,"AL",5.283,25.700517,16.244243,0,181.925,52.494,51.879,0,"Switchgrass",4,"Alabama","Monroe",31.54186447,-87.36122013,1,99,2.57915106712983,9.08359665239063
1101,"AL",5.71,26.036567,14.84956,0,152.637,52.478,54.72,0,"Miscanthus",3,"Alabama","Montgomery",32.26709973,-86.22541925,1,101,2.84404520121304,8.63532643098466
1103,"AL",5.401,25.349948,13.294705,0,144.648,54.436,60.105,0,"Miscanthus",3,"Alabama","Morgan",34.49543115,-86.88109085,1,103,5.4748329867423,11.4529815486531
1105,"AL",5.71,26.51314,13.928284,0,207.167,54.546,60.809,0,"Miscanthus",3,"Alabama","Perry",32.548815,-87.375108,1,105,2.97422989288249,9.43291575942446
1107,"AL",0,27.767301,16.473625,0,0,70.012,80.393,0,"Miscanthus",3,"Alabama","Pickens",33.3013615,-88.065863,1,107,3.51761317722892,10.5737736888593
1109,"AL",4.899,21.419772,15.773918,0,158.613,53.466,47.647,0,"Switchgrass",4,"Alabama","Pike",31.80854133,-85.95389433,1,109,2.61681795882002,8.49846147247783
1111,"AL",2.935,21.084636,12.459479,0,307.339,79.145,90.857,0,"Miscanthus",3,"Alabama","Randolph",33.33003683,-85.43252217,1,111,3.26933683564113,9.52858412141342
1113,"AL",0,21.211143,14.219684,0,0,53.692,49.876,0,"Switchgrass",4,"Alabama","Russell",32.30978409,-85.14345073,1,113,2.5904887097113,8.23612925300441
1115,"AL",0,21.045784,12.915699,0,0,84.948,96.79,0,"Miscanthus",3,"Alabama","St. Clair",33.5727005,-86.32978058,1,115,3.96318891941064,10.1737124772217
1117,"AL",5.337,20.54257,12.544898,0,231.044,77.019,85.359,0,"Miscanthus",3,"Alabama","Shelby",33.26011474,-86.67015047,1,117,3.39173526052449,9.95516886044696
1119,"AL",3.309,24.997817,15.448404,0,237.918,65.429,70.588,0,"Miscanthus",3,"Alabama","Sumter",32.60788825,-88.19834775,1,119,3.00860670550083,9.84004663086849
1121,"AL",5.561,22.434539,11.970224,0,130.282,62.478,71.144,0,"Miscanthus",3,"Alabama","Talladega",33.3410656,-86.2151507,1,121,3.50870758303514,9.86153921434806
1123,"AL",4.216,22.229766,13.511124,0,122.4,60.782,63.152,0,"Miscanthus",3,"Alabama","Tallapoosa",32.892448,-85.790548,1,123,2.95180829936644,9.17287741236342
1125,"AL",5.273,21.739491,16.321946,0,128.155,62.902,58.485,0,"Switchgrass",4,"Alabama","Tuscaloosa",33.25891025,-87.52583089,1,125,3.41812452150889,10.3043000384071
1127,"AL",0,22.157056,11.742575,0,0,76.884,95.218,0,"Miscanthus",3,"Alabama","Walker",33.79996284,-87.28043358,1,127,4.43449787457768,10.8209267043116
1129,"AL",4.846,23.912666,17.225263,0,143.656,54.383,50.413,0,"Switchgrass",4,"Alabama","Washington",31.3991395,-88.17977993,1,129,2.50406044079644,9.42558407034813
1131,"AL",5.07,25.970048,15.412475,0,148.771,51.606,52.307,0,"Miscanthus",3,"Alabama","Wilcox",32.01722943,-87.30396229,1,131,2.76583974977576,9.06172134346067
1133,"AL",0,22.230291,11.892065,0,0,75.098,91.688,0,"Miscanthus",3,"Alabama","Winston",34.13798275,-87.40222588,1,133,4.9598475113244,11.2558652731498
4001,"AZ",0,0.036292,1.740744,0,0,0,0,0,"No Crop",0,"Arizona","Apache",35.16291183,-109.4710137,4,1,3.89149996849173,2.39514250783347
4003,"AZ",9.887,0.045426,0.535567,0,128.894,0,0,0,"Corn Stover",2,"Arizona","Cochise",31.751278,-109.9383616,4,3,2.57058697680716,2.19720834023151
4005,"AZ",0,0.030758,1.146077,0,0,0,0,0,"No Crop",0,"Arizona","Coconino",35.72308107,-111.821823,4,5,4.67611683161746,2.59231990644315
4007,"AZ",0,0.023464,1.577387,0,0,0,0,0,"No Crop",0,"Arizona","Gila",33.647141,-110.9247387,4,7,2.44897217445291,2.11681186793178
4009,"AZ",10.273,0.022829,0.707291,0,126.719,0,0,0,"Corn Stover",2,"Arizona","Graham",32.89980167,-109.7905547,4,9,2.00361833274594,1.8842392727307
4011,"AZ",0,0.021255,1.24633,0,0,0,0,0,"No Crop",0,"Arizona","Greenlee",33.007195,-109.2674218,4,11,1.92528405343599,1.87720415273115
4012,"AZ",0,0.018811,0.011381,0,0,0,0,0,"No Crop",0,"Arizona","La Paz",33.81483556,-114.083803,4,12,2.8189479524426,2.45288590408111
4013,"AZ",10.128,0.019471,0.20374,0,2501.132,0,0,0,"Corn Stover",2,"Arizona","Maricopa",33.31285775,-112.0931936,4,13,2.16708357320354,2.11101363976551
4015,"AZ",0,0.019616,0.476561,0,0,0,0,0,"No Crop",0,"Arizona","Mohave",35.27867733,-114.1155448,4,15,4.39306742142069,2.72884335333413
4017,"AZ",0,0.039458,0.834365,0,0,0,0,0,"No Crop",0,"Arizona","Navajo",34.90117417,-110.232106,4,17,3.68833723655821,2.36262131660316
4019,"AZ",0,0.030918,0.35262,0,0,0,0,0,"No Crop",0,"Arizona","Pima",32.12813476,-111.2352517,4,19,2.432043042172,1.94789079302444
4021,"AZ",10.085,0.035619,0.507921,0,846.81,0,0,0,"Corn Stover",2,"Arizona","Pinal",32.96436991,-111.3819324,4,21,2.04910281442078,1.99671178440235
4023,"AZ",0,0.253783,2.394905,0,0,0,0,0,"No Crop",0,"Arizona","Santa Cruz",31.5724482,-110.8850678,4,23,2.68219964197787,2.43343658750004
4025,"AZ",0,0.038222,1.612471,0,0,0,0,0,"No Crop",0,"Arizona","Yavapai",34.6279235,-112.3162138,4,25,3.56673579714597,2.3869620707989
4027,"AZ",10.206,0.018724,0.008333,0,130.968,0,0,0,"Corn Stover",2,"Arizona","Yuma",32.66588808,-114.3201113,4,27,2.31572141245652,2.36080179384335
5001,"AR",9.606,28.783904,16.248469,0,113.223,58.182,60.087,0,"Corn Stover",2,"Arkansas","Arkansas",34.317439,-91.300762,5,1,4.07052289851778,11.640433053819
5003,"AR",7.805,28.371538,16.027265,0,121.192,55.231,55.259,0,"Corn Stover",2,"Arkansas","Ashley",33.21785514,-91.68829671,5,3,2.76314149554176,11.0403204459906
5005,"AR",0,19.930243,11.626766,0,0,79.366,85.134,0,"Miscanthus",3,"Arkansas","Baxter",36.33069233,-92.38756225,5,5,5.08061151659048,12.353664819858
5007,"AR",0,27.219417,12.332221,0,0,66.143,81.979,0,"Miscanthus",3,"Arkansas","Benton",36.36162038,-94.26371586,5,7,4.36988683335905,11.5978245815208
5009,"AR",0,12.290442,11.587911,0,0,110.058,85.319,0,"Switchgrass",4,"Arkansas","Boone",36.31633433,-93.05844878,5,9,4.80739946906167,12.2234906124589
5011,"AR",0,28.193263,15.782565,0,0,64.895,70.614,0,"Miscanthus",3,"Arkansas","Bradley",33.47459975,-92.19609625,5,11,2.91888418463342,11.1232319573114
5013,"AR",0,28.303889,15.882659,0,0,64.758,70.358,0,"Miscanthus",3,"Arkansas","Calhoun",33.5913835,-92.53906475,5,13,2.96066695464875,11.1229683246603
5015,"AR",0,21.789204,12.570399,0,0,75.153,80.994,0,"Miscanthus",3,"Arkansas","Carroll",36.39310883,-93.62207883,5,15,4.64432144968383,12.1521496082971
5017,"AR",7.727,28.224497,15.905201,0,124.154,52.723,51.324,0,"Corn Stover",2,"Arkansas","Chicot",33.30875675,-91.31364425,5,17,2.97381268938282,11.1064146828671
5019,"AR",0,24.438203,14.477238,0,0,62.81,63.195,0,"Miscanthus",3,"Arkansas","Clark",34.0300136,-93.1801285,5,19,3.05967041931267,11.2149165842586
5021,"AR",8.731,14.739183,13.645545,0,119.51,69.045,50.594,0,"Corn Stover",2,"Arkansas","Clay",36.37415573,-90.44106836,5,21,5.87278912685602,12.733504655827
5023,"AR",0,24.104389,11.246893,0,0,70.816,86.996,0,"Miscanthus",3,"Arkansas","Cleburne",35.56538773,-92.01384245,5,23,4.67233481357093,12.0818522019325
5025,"AR",0,28.383243,15.78196,0,0,64.661,70.615,0,"Miscanthus",3,"Arkansas","Cleveland",33.88371867,-92.20752433,5,25,3.37028188864383,11.3027782508366
5027,"AR",0,22.239366,14.205669,0,0,74.239,75.123,0,"Miscanthus",3,"Arkansas","Columbia",33.23334586,-93.24348729,5,27,2.34057458722059,10.8619697858111
5029,"AR",7.578,25.767265,15.619138,0,139.611,54.585,51.269,0,"Switchgrass",4,"Arkansas","Conway",35.271394,-92.67666689,5,29,4.18846711684308,11.8369187536478
5031,"AR",8.314,0.72559,11.372704,0,120.301,937.843,61.152,0,"Corn Stover",2,"Arkansas","Craighead",35.83240864,-90.62004343,5,31,5.42261460032709,12.4499269603687
5033,"AR",6.457,25.672495,13.811137,0,135.677,50.583,47.35,0,"Switchgrass",4,"Arkansas","Crawford",35.57315255,-94.267411,5,33,3.76819047081634,11.2643861535396
5035,"AR",7.044,28.118002,15.536001,0,129.899,51.013,48.967,0,"Switchgrass",4,"Arkansas","Crittenden",35.2297348,-90.2862865,5,35,5.13619830952594,12.2285800477373
5037,"AR",6.137,27.958866,15.654158,0,153.687,56.833,57.796,0,"Miscanthus",3,"Arkansas","Cross",35.31985029,-90.77193343,5,37,5.00090172940111,12.18679449542
5039,"AR",0,29.127262,16.119523,0,0,63.775,69.764,0,"Miscanthus",3,"Arkansas","Dallas",33.98148325,-92.65709325,5,39,3.2482882405411,11.2757841423211
5041,"AR",9.136,28.255478,15.599721,0,120.009,49.118,46.026,0,"Switchgrass",4,"Arkansas","Desha",33.77337988,-91.30777488,5,41,3.50919912034557,11.3923446177003
5043,"AR",8.307,28.370633,15.943692,0,118.371,54.897,54.866,0,"Corn Stover",2,"Arkansas","Drew",33.62300767,-91.72687717,5,43,3.2211929858849,11.260356660946
5045,"AR",6.964,26.184069,15.604193,0,142.681,53.618,50.44,0,"Switchgrass",4,"Arkansas","Faulkner",35.17380164,-92.333786,5,45,4.25734976390894,11.8527954109754
5047,"AR",5.07,25.894848,12.500576,0,480.425,65.936,77.525,0,"Miscanthus",3,"Arkansas","Franklin",35.4099605,-93.8641295,5,47,3.80783126207207,11.5975457728958
5049,"AR",0,22.60724,14.385128,0,0,73.519,74.56,0,"Miscanthus",3,"Arkansas","Fulton",36.3929993,-91.7837302,5,49,5.36184669126383,12.4931600550485
5051,"AR",0,24.771487,12.970489,0,0,69.716,79.421,0,"Miscanthus",3,"Arkansas","Garland",34.56091815,-93.07840892,5,51,3.49718505169129,11.4605210824806
5053,"AR",0,28.742004,15.994206,0,0,64.228,70.076,0,"Miscanthus",3,"Arkansas","Grant",34.2590778,-92.49303,5,53,3.52208288689121,11.4234757579795
5055,"AR",7.759,0.886775,15.625806,0,123.343,678.89,47.971,0,"Switchgrass",4,"Arkansas","Greene",36.129251,-90.59735413,5,55,5.63992453938677,12.5912749274793
5057,"AR",0,22.550986,15.671639,0,0,73.628,70.901,0,"Switchgrass",4,"Arkansas","Hempstead",33.78921788,-93.68227525,5,57,2.66331560678514,11.0336929530866
5059,"AR",0,24.439914,16.710374,0,0,70.255,68.358,0,"Switchgrass",4,"Arkansas","Hot Spring",34.30872583,-93.0208525,5,59,3.334496225025,11.3606671694868
5061,"AR",0,27.090406,14.595215,0,0,66.316,73.918,0,"Miscanthus",3,"Arkansas","Howard",34.0264886,-93.9783848,5,61,2.71469041087712,10.9004583942174
5063,"AR",6.415,9.772522,14.320202,0,137.363,101.487,57.198,0,"Corn Stover",2,"Arkansas","Independence",35.718478,-91.56090138,5,63,4.96504553774379,12.2303790095731
5065,"AR",0,3.966841,11.975107,0,0,278.065,83.53,0,"Switchgrass",4,"Arkansas","Izard",36.08320333,-91.96818527,5,65,5.06559626507617,12.3207858949002
5067,"AR",7.749,0.699347,16.041384,0,126.928,992.84,52.887,0,"Corn Stover",2,"Arkansas","Jackson",35.59296722,-91.17113156,5,67,5.03225131951175,12.2423347470063
5069,"AR",8.987,28.138092,15.716393,0,121.76,55.038,55.123,0,"Corn Stover",2,"Arkansas","Jefferson",34.29537469,-91.9288545,5,69,3.78816245138983,11.5298046373204
5071,"AR",6.898,27.850266,13.214804,0,128.632,54.165,57.778,0,"Corn Stover",2,"Arkansas","Johnson",35.491488,-93.48217263,5,71,4.02406666910786,11.7925175690364
5073,"AR",7.119,26.460694,14.884917,0,128.731,52.473,50.02,0,"Switchgrass",4,"Arkansas","Lafayette",33.2973258,-93.54167,5,73,2.33262399097713,10.8453465384067
5075,"AR",0,11.826601,11.819898,0,0,92.659,66.12,0,"Switchgrass",4,"Arkansas","Lawrence",36.04369629,-91.13686807,5,75,5.36623487639763,12.4538890033179
5077,"AR",8.282,28.380682,15.972958,0,121.901,52.631,51.285,0,"Corn Stover",2,"Arkansas","Lee",34.79731483,-90.80914517,5,77,4.61734590703847,11.9400328029391
5079,"AR",7.418,28.61119,16.193653,0,122.261,53.111,52.026,0,"Corn Stover",2,"Arkansas","Lincoln",34.02652025,-91.6850655,5,79,3.69827971732714,11.4480409517931
5081,"AR",7.055,21.728631,15.190747,0,132.41,66.82,61.532,0,"Corn Stover",2,"Arkansas","Little River",33.73388717,-94.2092805,5,81,2.3931856901329,10.5519329327317
5083,"AR",7.343,25.573892,14.399233,0,125.446,56.767,56.198,0,"Corn Stover",2,"Arkansas","Logan",35.25342867,-93.66002022,5,83,3.77315487200494,11.6601621239096
5085,"AR",8.805,28.232595,15.621418,0,120.89,55.08,55.477,0,"Corn Stover",2,"Arkansas","Lonoke",34.77814267,-91.89366267,5,85,4.15197019509996,11.751166615734
5087,"AR",0,24.359152,12.505546,0,0,70.389,81.259,0,"Miscanthus",3,"Arkansas","Madison",36.03290663,-93.71356663,5,87,4.33763887407386,11.9821387071274
5089,"AR",0,19.459274,13.776914,0,0,80.561,76.528,0,"Switchgrass",4,"Arkansas","Marion",36.30647971,-92.66716729,5,89,4.95338083925337,12.2914087548898
5091,"AR",5.403,26.771934,14.924749,0,142.993,49.427,45.565,0,"Switchgrass",4,"Arkansas","Miller",33.3627435,-93.91033175,5,91,2.24243397843257,10.6866320510323
5093,"AR",8.603,28.586781,15.534212,0,120.9,53.754,53.973,0,"Corn Stover",2,"Arkansas","Mississippi",35.71008505,-90.0504946,5,93,5.56541325922477,12.4943510723672
5095,"AR",7.717,0.959784,11.67642,0,121.906,691.566,58.548,0,"Corn Stover",2,"Arkansas","Monroe",34.713443,-91.214856,5,95,4.3887524260763,11.834418255097
5097,"AR",0,25.915483,13.46599,0,0,67.962,77.602,0,"Miscanthus",3,"Arkansas","Montgomery",34.56706263,-93.661516,5,97,3.25679084715377,11.3678601297796
5099,"AR",0,21.908919,15.607998,0,0,74.907,71.068,0,"Switchgrass",4,"Arkansas","Nevada",33.72033743,-93.31272029,5,99,2.77187185644319,11.0610320681502
5101,"AR",0,23.076785,12.956734,0,0,72.634,79.474,0,"Miscanthus",3,"Arkansas","Newton",35.9519487,-93.1840212,5,101,4.48724938162085,12.0431643398103
5103,"AR",0,28.253443,15.69426,0,0,64.82,70.842,0,"Miscanthus",3,"Arkansas","Ouachita",33.573724,-92.88742567,5,103,2.84375084262126,11.0624494629565
5105,"AR",0,24.878781,12.129806,0,0,67.505,79.16,0,"Miscanthus",3,"Arkansas","Perry",34.99710367,-92.79132383,5,105,3.93939404299032,11.6976083127785
5107,"AR",7.791,1.526455,15.69317,0,125.164,516.707,57.303,0,"Corn Stover",2,"Arkansas","Phillips",34.44049877,-90.84976892,5,107,4.34864674729772,11.7693365646528
5109,"AR",0,25.058608,14.857576,0,0,69.261,73.143,0,"Miscanthus",3,"Arkansas","Pike",34.14140243,-93.65890171,5,109,2.93805559771186,11.1871578968993
5111,"AR",8.218,14.35267,13.480679,0,128.253,77.41,57.709,0,"Corn Stover",2,"Arkansas","Poinsett",35.56964022,-90.62866822,5,111,5.23469334507152,12.3269519447382
5113,"AR",0,26.408756,13.738009,0,0,67.253,76.659,0,"Miscanthus",3,"Arkansas","Polk",34.424573,-94.276157,5,113,2.89009490950026,10.7754770393066
5115,"AR",7.916,25.517182,12.9899,0,135.757,55.012,55.899,0,"Corn Stover",2,"Arkansas","Pope",35.42162718,-93.04341155,5,115,4.14998676188473,11.8388929883286
5117,"AR",8.88,19.343053,15.735998,0,124.026,69.774,58.718,0,"Corn Stover",2,"Arkansas","Prairie",34.7582,-91.53063333,5,117,4.28893128166627,11.8024366918052
5119,"AR",0,21.16401,13.305994,0,0,61.219,56.77,0,"Switchgrass",4,"Arkansas","Pulaski",34.75787878,-92.32436765,5,119,3.95773314924618,11.6707129387406
5121,"AR",8.528,15.035064,12.21935,0,121.535,76.987,62.446,0,"Corn Stover",2,"Arkansas","Randolph",36.34941614,-90.97098186,5,121,5.64826625223542,12.6239831820695
5123,"AR",8.24,28.165156,15.904298,0,123.696,51.085,48.694,0,"Switchgrass",4,"Arkansas","St. Francis",34.94557953,-90.83772278,5,123,4.71004152694493,12.0034250600853
