id,int(11),NO,
spcd,int(11),YES,
genus,varchar(255),YES,
species,varchar(255),YES,
scientificname,varchar(255),YES,
commonname,varchar(255),YES,
notes,varchar(255),YES,
created_at,datetime,YES,
updated_at,datetime,YES,
AcceptedSymbol,varchar(255),YES,
SynonymSymbol,varchar(255),YES,
Symbol,varchar(255),YES,
PLANTS_Floristic_Area,text,YES,
State,text,YES,
Category,varchar(255),YES,
Family,varchar(255),YES,
FamilySymbol,varchar(255),YES,
FamilyCommonName,varchar(255),YES,
xOrder,varchar(255),YES,
SubClass,varchar(255),YES,
Class,varchar(255),YES,
SubDivision,varchar(255),YES,
Division,varchar(255),YES,
SuperDivision,varchar(255),YES,
SubKingdom,varchar(255),YES,
Kingdom,varchar(255),YES,
ITIS_TSN,int(11),YES,
Duration,varchar(255),YES,
GrowthHabit,varchar(255),YES,
NativeStatus,varchar(255),YES,
NationalWetlandIndicatorStatus,varchar(255),YES,
RegionalWetlandIndicatorStatus,varchar(255),YES,
ActiveGrowthPeriod,varchar(255),YES,
AfterHarvestRegrowthRate,varchar(255),YES,
Bloat,varchar(255),YES,
C2N_Ratio,varchar(255),YES,
CoppicePotential,varchar(255),YES,
FallConspicuous,varchar(255),YES,
FireResistance,varchar(255),YES,
FoliageTexture,varchar(255),YES,
GrowthForm,varchar(255),YES,
GrowthRate,varchar(255),YES,
MaxHeight20Yrs,int(11),YES,
MatureHeight,int(11),YES,
KnownAllelopath,varchar(255),YES,
LeafRetention,varchar(255),YES,
Lifespan,varchar(255),YES,
LowGrowingGrass,varchar(255),YES,
NitrogenFixation,varchar(255),YES,
ResproutAbility,varchar(255),YES,
AdaptedCoarseSoils,varchar(255),YES,
AdaptedMediumSoils,varchar(255),YES,
AdaptedFineSoils,varchar(255),YES,
AnaerobicTolerance,varchar(255),YES,
CaCO3Tolerance,varchar(255),YES,
ColdStratification,varchar(255),YES,
DroughtTolerance,varchar(255),YES,
FertilityRequirement,varchar(255),YES,
FireTolerance,varchar(255),YES,
MinFrostFreeDays,int(11),YES,
HedgeTolerance,varchar(255),YES,
MoistureUse,varchar(255),YES,
pH_Minimum,decimal(5\,2),YES,
pH_Maximum,decimal(5\,2),YES,
Min_PlantingDensity,int(11),YES,
Max_PlantingDensity,int(11),YES,
Precipitation_Minimum,int(11),YES,
Precipitation_Maximum,int(11),YES,
RootDepthMinimum,int(11),YES,
SalinityTolerance,varchar(255),YES,
ShadeTolerance,varchar(255),YES,
TemperatureMinimum,int(11),YES,
BloomPeriod,varchar(255),YES,
CommercialAvailability,varchar(255),YES,
FruitSeedPeriodBegin,varchar(255),YES,
FruitSeedPeriodEnd,varchar(255),YES,
Propogated_by_BareRoot,varchar(255),YES,
Propogated_by_Bulbs,varchar(255),YES,
Propogated_by_Container,varchar(255),YES,
Propogated_by_Corms,varchar(255),YES,
Propogated_by_Cuttings,varchar(255),YES,
Propogated_by_Seed,varchar(255),YES,
Propogated_by_Sod,varchar(255),YES,
Propogated_by_Sprigs,varchar(255),YES,
Propogated_by_Tubers,varchar(255),YES,
Seeds_per_Pound,int(11),YES,
SeedSpreadRate,varchar(255),YES,
SeedlingVigor,varchar(255),YES,
